connection,time,rxpower,snr,qfactor,chdispcomp,carrieroffset,differentialgroupdelay,ber
1,1466,-0.2,17.7,10.4,-817,-0.071,7,0.000448285
2,1467,-3.7,16.7,9.9,-5888,-0.102,10,0.000813985
3,1468,-0.9,17,10.1,-5870,0.073,12,0.000637401
4,1469,-0.3,16.8,9.5,-832,0.105,11,0.001347955
5,1469,-5.8,17.2,10.2,-1268,-0.03,9,0.000555984
0,1501,-4.7,17.8,10.4,-1262,0.024,4,0.000456386
1,1501,-0.2,17.7,10.4,-816,-0.094,7,0.000403491
2,1502,-3.8,16.8,9.9,-5892,-0.128,11,0.00086899
3,1503,-0.9,17.1,10.1,-5871,0.149,9,0.000650036
4,1504,-0.3,16.7,9.5,-822,0.041,11,0.001319155
5,1505,-5.8,17.3,10.2,-1271,0.068,9,0.000556644
0,1536,-4.6,17.5,10.4,-1265,-0.002,4,0.000450508
1,1536,-0.2,17.7,10.4,-820,-0.09,8,0.000427229
2,1537,-3.7,16.9,9.9,-5886,-0.112,8,0.000848048
3,1538,-0.9,17.3,10.1,-5867,0.134,12,0.000625535
4,1539,-0.3,16.8,9.5,-825,0.116,10,0.001357189
5,1540,-5.8,17.2,10.2,-1266,0.11,10,0.00055873
0,1571,-4.7,17.5,10.4,-1265,-0.049,4,0.000436763
1,1572,-0.1,17.6,10.4,-814,-0.107,7,0.000414835
2,1572,-3.7,16.8,9.9,-5890,-0.106,11,0.000851134
3,1573,-0.9,17.1,10.1,-5867,0.188,8,0.000670564
4,1574,-0.3,16.8,9.5,-823,0.01,10,0.00140136
5,1575,-5.8,17.3,10.2,-1273,0.097,9,0.000567243
0,1606,-4.7,17.5,10.4,-1267,-0.045,4,0.000446553
1,1607,-0.2,17.6,10.4,-813,-0.107,7,0.000434296
2,1607,-3.7,16.7,9.9,-5889,-0.116,10,0.000833838
3,1608,-0.9,17.2,10,-5868,0.092,5,0.000676863
4,1609,-0.3,16.7,9.5,-825,0.078,11,0.001328958
5,1610,-5.4,17.3,10.3,-1268,0.086,10,0.00053108
0,1641,-4.7,17.6,10.4,-1265,-0.009,5,0.000446611
1,1642,-0.2,17.6,10.4,-814,-0.127,7,0.000434092
2,1642,-3.7,16.9,9.9,-5887,-0.094,11,0.000863017
3,1643,-0.9,17.2,10.1,-5870,0.029,5,0.000746726
4,1644,-0.3,16.8,9.5,-827,0.008,11,0.001396117
5,1645,-5.4,17.3,10.3,-1270,-0.049,9,0.00050652
0,1676,-4.7,17.6,10.4,-1264,-0.013,5,0.000436802
1,1677,-0.1,17.7,10.4,-816,-0.041,7,0.000420916
2,1677,-3.8,16.9,9.9,-5887,-0.13,9,0.000842756
3,1678,-0.9,17.3,10.1,-5869,0.026,8,0.000651184
4,1679,-0.3,16.9,9.5,-829,0.033,10,0.001321692
5,1680,-5.4,17.4,10.3,-1270,-0.057,9,0.000537584
0,1711,-4.6,17.6,10.4,-1262,-0.025,5,0.000431053
1,1712,-0.2,17.6,10.4,-812,-0.126,7,0.000437814
2,1712,-3.7,16.8,9.9,-5885,-0.094,9,0.00079319
3,1713,-0.9,17.2,10,-5870,0.068,9,0.000691722
4,1714,-0.3,16.7,9.5,-825,0.158,10,0.001312214
5,1715,-5.4,17.2,10.3,-1266,-0.065,9,0.000547841
0,1746,-4.6,17.7,10.4,-1265,-0.043,5,0.000484836
1,1747,-0.2,17.7,10.4,-816,-0.059,7,0.000439692
2,1748,-3.7,16.8,9.9,-5889,-0.098,9,0.000802317
3,1748,-0.9,17.1,10.1,-5870,0.026,6,0.000692231
4,1749,-0.3,16.8,9.5,-827,-0.035,10,0.001354667
5,1750,-5.4,17.3,10.3,-1270,-0.048,9,0.000524864
0,1781,-4.7,17.6,10.4,-1262,0.029,5,0.000462093
1,1782,-0.1,17.8,10.4,-816,-0.017,7,0.000415121
2,1783,-3.7,16.8,9.9,-5888,-0.052,8,0.000872918
3,1784,-0.9,17.2,10.1,-5871,0.109,7,0.000631367
4,1785,-0.3,16.9,9.5,-828,0.052,11,0.001319751
5,1786,-5.3,17.4,10.3,-1271,0.045,10,0.000512122
0,1817,-4.6,17.5,10.4,-1265,-0.035,4,0.000448603
1,1817,-0.2,17.6,10.4,-814,0.011,7,0.000431286
2,1818,-3.7,16.9,9.9,-5891,-0.111,8,0.00080738
3,1819,-0.9,17.1,10.1,-5869,0.09,9,0.000620857
4,1820,-0.3,16.8,9.5,-830,0.102,11,0.001360356
5,1821,-5.4,17.3,10.3,-1272,-0.015,10,0.000543826
0,1852,-4.6,17.5,10.4,-1262,-0.021,5,0.000477888
1,1852,-0.2,17.7,10.4,-818,-0.04,7,0.000414676
2,1853,-3.7,16.8,9.9,-5886,-0.094,8,0.00083522
3,1854,-0.9,17.2,10.1,-5873,0.132,5,0.000650792
4,1855,-0.3,16.8,9.5,-825,0.181,10,0.001400207
5,1856,-5.4,17.4,10.3,-1268,0.079,9,0.000516757
0,1887,-4.7,17.5,10.4,-1263,-0.043,5,0.000460244
1,1888,-0.1,17.7,10.4,-816,-0.067,7,0.000422254
2,1888,-3.7,16.7,9.9,-5887,-0.126,8,0.000810068
3,1889,-0.9,17.3,10.1,-5870,0.199,4,0.000607113
4,1890,-0.3,16.8,9.5,-829,0.106,10,0.001277607
5,1891,-5.3,17.3,10.3,-1274,0.02,10,0.000509868
0,1922,-4.7,17.6,10.4,-1267,-0.028,4,0.000449748
1,1923,-0.2,17.7,10.4,-816,-0.062,7,0.000448358
2,1924,-3.7,16.9,9.9,-5886,-0.07,9,0.000783755
3,1925,-0.9,17.2,10.1,-5873,0.065,5,0.000639785
4,1926,-0.3,16.8,9.5,-829,0.097,11,0.001361615
5,1927,-5.3,17.4,10.3,-1272,-0.056,10,0.000525142
0,1958,-4.6,17.5,10.4,-1262,-0.042,4,0.000475119
1,1958,-0.2,17.7,10.4,-814,-0.092,7,0.000407583
2,1959,-3.8,16.9,9.9,-5886,-0.067,11,0.000872408
3,1960,-0.9,17.1,10.1,-5870,0.163,4,0.000604584
4,1961,-0.3,16.7,9.5,-827,0.042,10,0.001311623
5,1962,-5.3,17.4,10.3,-1269,-0.016,9,0.000510067
0,1993,-4.7,17.5,10.4,-1266,-0.07,5,0.000458714
1,1993,-0.2,17.7,10.4,-816,-0.105,7,0.000420267
2,1994,-3.7,16.9,9.9,-5889,-0.084,9,0.000836504
3,1995,-0.9,17.1,10.1,-5871,0.08,4,0.000645268
4,1996,-0.3,16.8,9.5,-822,0.08,10,0.001287709
5,1997,-5.4,17.4,10.3,-1268,0.071,10,0.00051995
0,2028,-4.6,17.5,10.4,-1263,0.008,5,0.00044594
1,2029,-0.2,17.6,10.4,-812,-0.033,7,0.000413369
2,2029,-3.7,16.8,9.9,-5885,-0.088,10,0.000808214
3,2030,-0.9,17.2,10,-5874,0.059,5,0.000703953
4,2031,-0.3,16.8,9.5,-824,0.025,10,0.001379961
5,2032,-5.3,17.3,10.3,-1269,0.114,9,0.000524044
0,2063,-4.6,17.7,10.4,-1262,-0.006,4,0.000451422
1,2064,-0.2,17.6,10.4,-818,-0.086,7,0.00046358
2,2064,-3.8,16.9,9.9,-5887,-0.062,9,0.000854375
3,2065,-0.9,17.1,10,-5870,0.045,9,0.00071222
4,2066,-0.3,16.8,9.5,-826,0.042,10,0.001281038
5,2067,-5.4,17.3,10.3,-1269,0.058,10,0.000520414
0,2098,-4.6,17.7,10.3,-1266,0.049,5,0.00048248
1,2099,-0.2,17.7,10.4,-818,-0.006,7,0.000436859
2,2100,-3.7,16.7,9.9,-5885,-0.118,7,0.000828673
3,2101,-0.9,17.2,10.1,-5872,0.092,10,0.0006326
4,2102,-0.3,16.8,9.5,-823,-0.001,10,0.001369449
5,2103,-5.3,17.2,10.3,-1270,-0.02,9,0.000518792
0,2134,-4.7,17.5,10.3,-1266,0.054,4,0.000451943
1,2134,-0.2,17.6,10.4,-815,-0.001,7,0.000421028
2,2135,-3.8,16.9,9.9,-5887,-0.15,8,0.000818259
3,2136,-0.9,17.1,10.1,-5871,0.045,5,0.000682703
4,2137,-0.3,16.7,9.5,-824,0.116,11,0.001286912
5,2138,-5.4,17.4,10.3,-1270,-0.018,10,0.000537897
0,2169,-4.7,17.6,10.4,-1264,0.014,5,0.000443621
1,2169,-0.2,17.7,10.4,-814,-0.006,7,0.000436
2,2170,-3.7,16.8,9.9,-5891,-0.103,8,0.000788363
3,2171,-0.9,17.1,10.1,-5871,0.08,5,0.000654873
4,2172,-0.4,16.7,9.5,-827,0.076,11,0.001273322
5,2173,-5.4,17.3,10.3,-1271,0.014,10,0.00054497
0,2204,-4.6,17.5,10.4,-1266,-0.001,5,0.000483957
1,2205,-0.2,17.6,10.4,-814,-0.069,6,0.000442544
2,2205,-3.7,16.9,9.9,-5894,-0.101,8,0.000848455
3,2206,-0.9,17.2,10.1,-5870,0.085,10,0.000651551
4,2207,-0.4,16.8,9.5,-822,0.021,11,0.001327276
5,2208,-5.4,17.3,10.3,-1270,0.011,10,0.000529944
0,2239,-4.7,17.6,10.4,-1264,-0.01,4,0.000459939
1,2240,-0.2,17.7,10.4,-816,-0.103,7,0.000422111
2,2241,-3.7,16.9,9.9,-5888,-0.1,5,0.000810033
3,2241,-0.9,17.1,10.1,-5867,0.017,8,0.00064905
4,2242,-0.3,16.8,9.5,-824,0.103,10,0.001273525
5,2243,-5.4,17.4,10.3,-1271,0.038,10,0.000526605
0,2274,-4.7,17.4,10.3,-1263,0.027,5,0.000456243
1,2287,-0.2,17.7,10.4,-816,-0.049,7,0.00041645
2,2288,-3.7,16.9,9.9,-5886,-0.007,8,0.000841234
3,2289,-0.9,17.2,10,-5873,-0.01,4,0.000676526
4,2290,-0.3,16.9,9.5,-826,0.063,10,0.00126919
5,2299,-5.4,17.3,10.3,-1273,-0.001,10,0.000528368
0,2330,-4.7,17.5,10.4,-1266,-0.002,5,0.000456696
1,2331,-0.2,17.7,10.4,-815,-0.016,7,0.000452187
2,2331,-3.7,16.9,9.9,-5886,-0.06,9,0.000789435
3,2332,-0.9,17.1,10.1,-5870,0.092,3,0.000671664
4,2333,-0.3,16.7,9.5,-829,0.087,11,0.001370307
5,2334,-5.4,17.4,10.3,-1269,0.03,10,0.000513031
0,2365,-4.6,17.4,10.3,-1263,0.021,5,0.000483007
1,2366,-0.2,17.6,10.4,-818,-0.042,7,0.000423184
2,2366,-3.7,17,9.9,-5889,-0.158,9,0.000827953
